,gene,Nmean,NSD,Cmean,CSD,methelation
10824,PDLIM7---Cluster2,0.02676721855858965,0.0032827468095089677,0.036541252180851684,0.007025720469590488,Up
10825,PDP1---Cluster1,0.006955607731054773,0.0007856316889152058,0.012778630692051115,0.007430203989672496,Up
10826,PDP1---Cluster2,0.014325985911040038,0.0009436514703883957,0.016956113870713583,0.0051901961693152894,Up
10827,PDP2---Cluster1,0.01882312791091735,0.003362091870346863,0.03248896124824156,0.018738993195558985,Up
10828,PDP2---Cluster2,0.008906841434163369,0.0009129327174691164,0.0153859277394865,0.010156222374463212,Up
10829,PDPK1,0.01317528482150065,0.001641084725569844,0.0181585735294038,0.013740524627542015,Up
10830,PDPN---Cluster1,0.011745375036208469,0.0022840684124758193,0.019527613659584817,0.01885574791552867,Up
10831,PDPN---Cluster2,0.011346591071970226,0.0013665386544895694,0.02543589144282405,0.04204206995569374,Up
10832,PDRG1---Cluster1,0.013282309692291924,0.0009935486475297958,0.015979361968948006,0.005369341698370582,Up
10833,PDS5A,0.006856624400480264,0.0014205631918131055,0.012859731068796976,0.00925094080450626,Up
10834,PDS5B,0.016030355927858786,0.0020373276979312872,0.02372632683288011,0.007503651935593619,Up
10835,PDSS2,0.0123123847588208,0.0012229666807869939,0.018355983237774483,0.008234762813794887,Up
10836,PDX1---Cluster1,0.0225606528760616,0.02399648274555413,0.02704877979104769,0.055622307143147004,Up
10837,PDXK,0.014206825201847675,0.002363887286214793,0.02779083181551896,0.01627210849873568,Up
10838,PDXP,0.065116133459845,0.020535217355803482,0.1067272303770033,0.06382754893595989,Up
10839,PDYN---Cluster1,0.4379361181488653,0.03781676861278088,0.3098482545698114,0.1512511738650645,Down
10840,PDZD4---Cluster1,0.2285545764693089,0.08626463667234181,0.17716102393271568,0.13503354092501427,Down
10841,PDZD4---Cluster2,0.5748957576353178,0.1011549825717017,0.35759339474600754,0.2011346683066435,Down
10842,PDZD7,0.00751117052370628,0.0012185116276482275,0.011771186294730179,0.006602557705723318,Up
10843,PDZD8---Cluster1,0.0059705197811736645,0.000947540663629314,0.008825011026539398,0.00529531427768059,Up
10844,PDZD8---Cluster2,0.007002148184242583,0.0008260522298156461,0.009253446549905163,0.0023648432164092978,Up
10845,PDZK1---Cluster1,0.8400602485524419,0.07735846141878983,0.7207205939699609,0.2023916064827607,Down
10846,PDZK1IP1,0.935091020221043,0.008705016112819134,0.8737626403921699,0.06575846059685135,Down
10847,PDZRN3,0.020635980927094972,0.003975011634442632,0.03529490457884468,0.030283953821177424,Up
10848,PDZRN4,0.8255549595662033,0.05809129566477406,0.4578798194112815,0.2598360560138608,Down
10849,PEA15---Cluster1,0.9334982532080398,0.00785391714331133,0.8435773019261745,0.07410355269475291,Down
10850,PEA15---Cluster2,0.022260558189287058,0.0030271173261348394,0.03450500723245679,0.007594598171977641,Up
10851,PEBP1,0.04024144593951383,0.0054886859278561895,0.051712247698616216,0.037599092309835866,Up
10852,PECI---Cluster1,0.056856687342260064,0.011284739645731668,0.07087276260160515,0.05156628493103254,Up
10853,PECI---Cluster2,0.014708738746580324,0.0011882895018981866,0.02339270847019164,0.030001832459242032,Up
10854,PEG10---Cluster1,0.9681875002967819,0.004616963924435505,0.938460140594158,0.029389965924223882,Down
10855,PEG10---Cluster2,0.9333357046469584,0.011026535666233841,0.9216901050941896,0.02377213395494641,Down
10856,PEG10---Cluster3,0.7075510534443972,0.03719802492068711,0.492555605802123,0.17044401239801052,Down
10857,PEG10---Cluster4,0.9928823198403188,0.0010256276481749797,0.9849177306129968,0.006933949221961375,Down
10858,PEG3---Cluster1,0.6432547541295359,0.0494148933348097,0.508706936809683,0.16765578460074335,Down
10859,PELI2---Cluster1,0.01886253492422,0.005560394918568727,0.02711539935694549,0.010373599869998909,Up
10860,PELI2---Cluster2,0.016764067079665736,0.004612286932376903,0.022052810949508526,0.010786687444433585,Up
10861,PEMT,0.015916828177907502,0.0017943214792326113,0.020946254351543587,0.005521533155532544,Up
10862,PENK---Cluster1,0.08631486928672966,0.079637563286711,0.3047862232425593,0.20743597625457366,Up
10863,PEPD,0.08656125341702169,0.01950495162478104,0.0944661209600971,0.09703607476311404,Up
10864,PER1,0.009860939418131558,0.004173921007216253,0.07166597147611341,0.1631046764803464,Up
10865,PER2---Cluster1,0.035271621147271066,0.006076894111205928,0.04648442763822143,0.03776690938974053,Up
10866,PER2---Cluster2,0.02148705727606945,0.00489963208339505,0.02114438466031097,0.007502623941556686,Down
10867,PER3---Cluster1,0.0071305591165761765,0.0011312387608110044,0.013757326374679194,0.006001199509845849,Up
10868,PER3---Cluster2,0.962711545277842,0.006951588400716505,0.7943384517162119,0.203209639232086,Down
10869,PERP,0.015521029056865775,0.005996307700561147,0.018670469748626368,0.0173910471624896,Up
10870,PES1---Cluster1,0.014459960414948488,0.002956818459055969,0.019404036017014226,0.010087223363443743,Up
10871,PET112L---Cluster1,0.007683096104551416,0.0005923110057247726,0.012790503589397031,0.003880827827203589,Up
10872,PET112L---Cluster2,0.012520538757466856,0.001923166559684228,0.024213172584745247,0.027137095088304992,Up
10873,PET117---Cluster1,0.007306609448733031,0.0006933814849553374,0.009733674866418754,0.0039864080139121955,Up
10874,PET117---Cluster2,0.018183189479133992,0.004162479242153242,0.030775345112962076,0.021428535923646883,Up
10875,PEX1,0.014151796865610338,0.0024937614360959013,0.025561296492219315,0.013025691392425964,Up
10876,PEX10---Cluster1,0.3248904484934788,0.08079907756264362,0.2243866289759693,0.11803367908807624,Down
10877,PEX10---Cluster2,0.004946283105597325,0.000566780079594387,0.01331424469303164,0.016495527271356045,Up
10878,PEX11A,0.019139581549217626,0.0016328480210060304,0.02311318127161963,0.006666441089333577,Up
10879,PEX11B,0.015888002693856224,0.003037359624594135,0.017714285073566826,0.012077419339830382,Up
10880,PEX11G---Cluster1,0.9010337291967913,0.02529797843978103,0.6434572162542925,0.23525520757176274,Down
10881,PEX11G---Cluster2,0.01378944632731345,0.0030043649451621927,0.021255453668571227,0.011777317479164329,Up
10882,PEX12---Cluster1,0.03269845108832885,0.007894083194853251,0.039128659266408385,0.011503368293225314,Up
10883,PEX12---Cluster2,0.010985171014318623,0.0013409890748501511,0.016286467467189217,0.004667703297318564,Up
10884,PEX13---Cluster1,0.012298327791776824,0.0009350322062456774,0.029019640446475557,0.026114629934239998,Up
10885,PEX13---Cluster2,0.0308798926806435,0.005964148542080688,0.03940398111613127,0.020926472101562937,Up
10886,PEX13---Cluster3,0.0590879972918778,0.007323570086002274,0.053125549251386406,0.01443648199022081,Down
10887,PEX14---Cluster1,0.027266514397154662,0.007442532079171274,0.03416074788058663,0.026951795029614443,Up
10888,PEX16---Cluster1,0.01659914068000784,0.002251272901471582,0.018572077580641774,0.008160087131706528,Up
10889,PEX19---Cluster1,0.0136898635958528,0.0010070828442533216,0.016398271034824764,0.005241681217513252,Up
10890,PEX26---Cluster1,0.009649035088248895,0.0008403529090811831,0.01582757159074005,0.007642953547401073,Up
10891,PEX5---Cluster1,0.009763850855572746,0.0016060129771308404,0.021347171740588228,0.028512216201805093,Up
10892,PEX5---Cluster2,0.09361555178421524,0.03363063973043333,0.08366506609604825,0.07122719132993413,Down
10893,PEX5L---Cluster1,0.04683918700425915,0.010252120802702512,0.07373203051090216,0.08839804210342445,Up
10894,PEX5L---Cluster2,0.013659314241648526,0.003166885416668401,0.13024748130487526,0.19912687848012545,Up
10895,PEX7---Cluster1,0.010393636164617522,0.0010905701175088628,0.014985495385149282,0.009516666909864644,Up
10896,PEX7---Cluster2,0.011874770631575734,0.0020585518426324088,0.0195501412403576,0.009410699182932443,Up
10897,PF4---Cluster1,0.4621043186537139,0.18182760150829488,0.20508354386054573,0.14649669038820035,Down
10898,PF4V1---Cluster1,0.29666188973039004,0.06962919526994599,0.2086506269727661,0.17541992201376594,Down
