['CTSA' 0.00012782084632883075]
['ACTR5' 0.00012772506178376016]
['ZNF281' 0.0001276507141914873]
['SMARCAL1' 0.00012756475040632103]
['DUSP10' 0.00012745691019860154]
['SMC3' 0.00012730903490156133]
['PDK3' 0.00012730299576731705]
['KIAA0406' 0.00012729372378352723]
['LYSMD4' 0.00012729358580423168]
['EI24' 0.00012728070990539463]
['DEFB114' 0.0001271067741374334]
['FBLN1' 0.00012678539427098974]
['PKD1L1' 0.0001267013070623874]
['OXR1' 0.00012668189612147955]
['KIAA1622' 0.00012661510175303396]
['LTBP1' 0.00012645945162010917]
['METT10D' 0.00012630308402015357]
['PTPN2' 0.00012607893098416894]
['AS3MT' 0.0001259240982715481]
['CD48' 0.0001258891972115181]
['CCL8' 0.00012585050424784245]
['RUNDC3A' 0.0001257120339995092]
['OR2B3' 0.0001255963371838337]
['NUDCD3' 0.00012545025693831057]
['NAIP' 0.00012533429628483535]
['PABPC4' 0.0001251646576417382]
['MYO1G' 0.00012506759997099555]
['TAF4B' 0.0001250599964473874]
['CAPRIN1' 0.00012492076088322022]
['LEO1' 0.00012489599059835836]
['OR10Z1' 0.0001246184190690715]
['CSN2' 0.00012460755083671434]
['LANCL3' 0.0001245785561966095]
['MIB1' 0.000124296697626133]
['OPN1SW' 0.00012428002138472642]
['GOSR2' 0.00012398300352972386]
['C20orf108' 0.00012385806032880057]
['C1orf53' 0.00012385408286879712]
['CCDC99' 0.00012376114592055692]
['RGL2' 0.00012376012546043568]
['SSB' 0.00012368176121419752]
['CD38' 0.00012367729709103668]
['MGC29506' 0.00012366842934758842]
['NR4A2' 0.00012361737004265835]
['TNNT2' 0.00012353183056082034]
['UBE2Z' 0.0001234999084267734]
['RFXDC2' 0.00012340213310399177]
['CLEC4E' 0.00012318681108360285]
['FLJ33360' 0.00012307140703390846]
['EDG3' 0.00012301372995127512]
['IPMK' 0.00012278573238786684]
['GYPE' 0.00012273024950393562]
['JPH1' 0.00012267635821471408]
['TLK2' 0.000122657583709687]
['KRT8P12' 0.00012262056012306416]
['GALNT14' 0.000122528323650502]
['KSR2' 0.00012242056225079154]
['LTA4H' 0.00012232361519422654]
['GGTA1' 0.00012229196132049007]
['C20orf121' 0.0001222811867770037]
['C1orf190' 0.00012227018713617283]
['FAM120B' 0.0001221897555365154]
['TMEM47' 0.00012210763050053632]
['ATP6V1G3' 0.00012187729352374688]
['FGFR2' 0.0001217709028981899]
['CRNN' 0.0001215489757157924]
['ZNF165' 0.00012154725167205817]
['ZNF592' 0.00012151722826649763]
['CLC' 0.00012150425577867615]
['PSRC1' 0.00012145255072845142]
['POLD3' 0.00012135988657917597]
['FARP1' 0.0001213366915427512]
['FBXL21' 0.00012124767875998595]
['NOTCH1' 0.00012115984509103758]
['ICMT' 0.00012114653022602251]
['USP4' 0.00012112625905452922]
['PARK2' 0.00012092921656333597]
['RANBP9' 0.00012089402169749849]
['SP2' 0.00012089364728706791]
['MYBL1' 0.00012069538540698086]
['CES2' 0.00012068953623655288]
['NPC1' 0.00012068599348177742]
['LRP1B' 0.00012067622302359755]
['DNAJB9' 0.00012059209836161043]
['TSPAN14' 0.00012054015278951774]
['ETNK1' 0.00012048666126712459]
['ZNF552' 0.00012042462899438957]
['HNRPLL' 0.00012038413408496423]
['SYAP1' 0.00012028415764708099]
['LYZ' 0.00012015629839725648]
['SLITRK6' 0.00012002607688981443]
['HISPPD2A' 0.00012002600899143237]
['POLA1' 0.00011991870529404186]
['CLPX' 0.00011983162566453336]
['TSR1' 0.00011980959181163508]
['BPGM' 0.00011970580464092052]
['MRPS33' 0.00011959414400286854]
['ELAC2' 0.0001194640223314873]
['HOXA7' 0.00011946260200433569]
['FAM62B' 0.0001194193595609994]
['CD55' 0.00011938716093108257]
['ZNF8' 0.00011925478461553981]
['TAS2R46' 0.00011924891442717614]
['NDUFB2' 0.00011910785397111212]
['PINK1' 0.00011907757173091328]
['COMMD1' 0.00011884796076990916]
['DNAJB5' 0.00011878791185347227]
['GPX3' 0.00011875394148967651]
['COL9A2' 0.00011875036223897746]
['TRAP1' 0.0001186683297653496]
['ANXA9' 0.0001186658355865547]
['KCND2' 0.00011850722209628602]
['SSNA1' 0.00011842304712552423]
['CCDC75' 0.00011840647863058108]
['EAF1' 0.00011835175905365217]
