['CCDC34' 0.000129239329923095]
['TYMS' 0.0001292117079062056]
['REG4' 0.00012917695319834968]
['KBTBD2' 0.00012911152266147408]
['VNN2' 0.00012902662905591036]
['YLPM1' 0.00012892812255914257]
['XYLT2' 0.0001287633127209988]
['WBSCR17' 0.0001286413703907832]
['C1RL' 0.00012861168420136448]
['NEK6' 0.00012843335250563585]
['HIST1H2AA' 0.000128399997360209]
['IPMK' 0.00012824868331559152]
['LMO3' 0.00012815329564695146]
['RWDD1' 0.00012815020707296638]
['ACTR5' 0.00012809866060307782]
['ICMT' 0.0001280453413422798]
['PIP3-E' 0.00012802209639143486]
['MLL3' 0.00012787495971980752]
['USP14' 0.0001278602015094522]
['C11orf49' 0.0001276865363510512]
['ROR2' 0.0001275895882668761]
['SYAP1' 0.00012743543269595937]
['ELAC2' 0.00012722716050107813]
['RUNDC3A' 0.00012719572521776882]
['ACYP2' 0.00012698712768426999]
['DYNC2H1' 0.00012690115608736621]
['MCPH1' 0.00012686508523870863]
['SMARCAL1' 0.00012653346440680903]
['HIST1H1T' 0.00012650235921800846]
['KCNQ3' 0.0001263765377499879]
['UBE2Z' 0.0001263633541886823]
['SLC2A13' 0.00012633407204322975]
['TAGAP' 0.00012633307825695472]
['CD38' 0.00012628690443261244]
['NFKBIE' 0.00012625134418088507]
['VASH2' 0.0001261017870298158]
['C9orf153' 0.00012606078037886363]
['TFIP11' 0.00012603088219164773]
['ZXDB' 0.0001260017748134383]
['SLCO2A1' 0.0001259616573126679]
['MAD2L1BP' 0.00012595285521151348]
['TRAV20' 0.00012584869204518553]
['COX17' 0.00012582971759691135]
['C1orf54' 0.00012578680461077543]
['EDG3' 0.00012572258031850558]
['PTPN2' 0.00012512814222331698]
['TFDP3' 0.0001249623319257279]
['GOSR2' 0.0001248082685764091]
['CCR7' 0.00012473517405745931]
['IL1R1' 0.0001246928877448954]
['TSPAN14' 0.00012460218675121502]
['KIAA1345' 0.00012449602252567434]
['TRAP1' 0.00012437711286625958]
['ABCA9' 0.00012426336686767632]
['RAB33A' 0.00012408282909832062]
['FAM105B' 0.00012403185079471493]
['METT10D' 0.00012400997591425537]
['TARSL2' 0.00012385531458519546]
['USP4' 0.00012378838146472643]
['SNX10' 0.00012373697963018597]
['KLC3' 0.00012371245929010006]
['HCG8' 0.00012366424905640758]
['SP2' 0.00012366139797897885]
['PRKD3' 0.00012360034973469603]
['MYBL1' 0.0001235931941254992]
['SPINK7' 0.0001233074045145883]
['ANK3' 0.00012307525291270307]
['AP1S1' 0.00012301020768761727]
['ARMETL1' 0.00012299724270502756]
['ENOPH1' 0.00012288201541195697]
['PDGFA' 0.00012281428279511277]
['FARSB' 0.00012281341854615468]
['LOC653391' 0.0001227970623197072]
['DLAT' 0.000122786000023197]
