['S100A12' 0.0003079936898280524]
['CCDC71' 0.0003079911276461365]
['KCNE4' 0.0003075175277834772]
['NEXN' 0.0003074277338732322]
['BICD1' 0.0003060404704225631]
['TSPYL2' 0.00030539205007358995]
['FLJ37357' 0.000305351553329702]
['HMGN2' 0.00030498801728844787]
['THYN1' 0.0003047224384073833]
['LOC440258' 0.00030460294977558523]
['HOXC4' 0.00030435283592396755]
['KRTAP13-3' 0.00030302765609547774]
['DNAJB12' 0.00030209785604629687]
['USH2A' 0.00030201607114761254]
['FOXH1' 0.0003010687756348922]
['C6orf145' 0.0003009902004893506]
['MAP2' 0.00029994007782234937]
['GPS1' 0.00029941353484071496]
['KIR2DL1' 0.00029781306448991706]
['ZNF667' 0.0002954927619561601]
['RTN2' 0.0002954428116057285]
['NFKBIA' 0.0002948418309637098]
['RRM1' 0.0002947025732327058]
['DRG1' 0.0002940770003806271]
['ZFP36L1' 0.000293903443210342]
['ZADH1' 0.0002938024558260198]
['CALCA' 0.0002935756918897961]
['ANXA4' 0.00029347513652988827]
['C17orf68' 0.00029338388217547897]
['P76' 0.00029336410537840447]
['MAGEC3' 0.00029322133718403127]
['HMX2' 0.0002927427591901349]
['DNAJC19' 0.0002925487073776518]
['ZBTB41' 0.0002917538359665945]
['BLVRB' 0.0002909793811545631]
['ZNF101' 0.00029038628272174137]
['CDH4' 0.0002899581038907636]
['USP42' 0.0002896632458613468]
['DDX46' 0.00028793857222948917]
['KIAA0256' 0.0002872422239007413]
['TRO' 0.00028719851339387983]
['TRIP4' 0.00028668154999302503]
['FGF11' 0.00028556129200279265]
['NGRN' 0.00028533779688820455]
['BAT2D1' 0.0002852476882138528]
['HLA-DRB5' 0.00028466224181045586]
['RNF128' 0.00028450106490987743]
['OAZ2' 0.000283919523808839]
['OSBPL3' 0.0002838519435787488]
['ACRBP' 0.0002829165652156494]
['SUSD4' 0.0002823505595984536]
['MRPL18' 0.0002823177778385584]
['HOXA1' 0.00028181512606978264]
['HDAC7A' 0.0002817793767189606]
['DNAH3' 0.0002815201995062555]
['FAM132A' 0.00028073235313296456]
['GM2A' 0.00027939201597618495]
['ABHD6' 0.00027832468055453204]
