,gene,mean,SD
2925,CDK3---Cluster2,0.977190476545812,0.011165216710580966
7906,KLF17,0.9769415761368192,0.04518145240644072
1877,C1orf38---Cluster2,0.976533733418876,0.007134463982963561
1212,B9D2,0.9762150834009842,0.02604499220372773
15253,TMEM81,0.9761093943656932,0.01165990778089388
154,ACOT11---Cluster2,0.9758187860149268,0.032659856435550354
14781,TCP10L---Cluster1,0.9757007791246932,0.03419850160121881
1612,C12orf12---Cluster1,0.9756013418528574,0.024282982925459537
13427,SIL1---Cluster2,0.9754724002140608,0.012604924487314132
3106,CHFR---Cluster4,0.9751385156162141,0.01445096310230669
4081,DDX4,0.9747811948883536,0.03464788404548424
11434,PPFIA3---Cluster1,0.9746680023642116,0.03874359524320056
2171,C6orf25---Cluster2,0.9746405151913788,0.016159571687127283
203,ACTL7A---Cluster2,0.974374167037634,0.007464380663050723
403,AGRP---Cluster1,0.9742197122184624,0.013915780612442502
15755,TUBA3E---Cluster2,0.9742151524355064,0.009876722398314542
8358,LOC100271831,0.9741797253469632,0.03561286841337582
6807,HMG20B---Cluster1,0.974126165810496,0.055119658941722924
11502,PPP1R3D,0.9729441811001334,0.0383659800099237
5296,FARP1---Cluster2,0.9729098578486194,0.013828030197302109
5410,FERMT3---Cluster1,0.9729046068735956,0.022529147174898484
6798,HLTF---Cluster1,0.972788860744928,0.05733216526393356
6765,HIST1H4G---Cluster1,0.9727284161344741,0.016642706472184313
12330,RBMXL3---Cluster1,0.9725884690862712,0.037884104487522614
5328,FBXL19---Cluster1,0.9724864103355664,0.03649941664043354
12582,RNF113B,0.9724211063709772,0.0072907202814035095
551,ALPI,0.9723171477359354,0.03918987988271085
15731,TTLL10,0.972155467090932,0.055119549722140816
6397,GRLF1---Cluster1,0.9720396654954272,0.010617908923826585
1331,BEND2---Cluster1,0.971645254559802,0.0198988104385301
5755,FZR1---Cluster2,0.9715642116703004,0.008861875399210585
8658,MAEL---Cluster1,0.9708788022171156,0.02261114731625813
316,ADCY7,0.9707175305917872,0.01582886450963817
13600,SLC25A2---Cluster1,0.9700927742992976,0.02450744270624972
3981,DCAF12---Cluster1,0.9696962546090708,0.018773873634738668
12897,RUNX3---Cluster5,0.9684458274518176,0.046183949881009725
14727,TBX19,0.9684380426110428,0.009438801098347523
2482,CATSPER1,0.9683888377807898,0.022577039041910663
7814,KIAA1267---Cluster1,0.9683795971457784,0.012635446571252072
4020,DCST1---Cluster1,0.9677804478246208,0.013466089546455328
6488,GUCA1B---Cluster2,0.9672539637490046,0.021022361570008027
14421,STK31---Cluster2,0.9672447122145219,0.037122582464069416
12020,PYY2---Cluster1,0.9671640655737246,0.030104454926480773
11075,PIK3C2B---Cluster1,0.9671541258655244,0.009488744592223736
10339,OGG1---Cluster1,0.9671490866005649,0.011250674570478259
10498,P2RX3---Cluster1,0.9669415899442768,0.03365798691844003
6326,GPS1---Cluster1,0.966781209068684,0.04134258937359818
1822,C19orf63---Cluster1,0.9666795090270331,0.025745300577567947
6981,HSD3B7---Cluster2,0.9661513957936968,0.02054699905076561
8186,LCTL---Cluster1,0.9658766434023104,0.023758956914473103
5260,FAM83H---Cluster2,0.9657290559610908,0.011487361344402851
10424,OSBPL5---Cluster2,0.96572290314812,0.027723360542279453
9832,NECAB3,0.9654279047102148,0.016109167401270108
11734,PRR22---Cluster1,0.9648615726786726,0.010529915891495295
3757,CTRB1---Cluster1,0.9647242024184078,0.024604596099919548
3508,CORO2B,0.9644827807917764,0.05486726690692352
5306,FAU---Cluster1,0.9643017743673656,0.02109420687727961
6417,GRTP1---Cluster2,0.9641498464737824,0.04179892122963549
2973,CDX1---Cluster2,0.9640724163394528,0.060566028125521636
7530,JDP2---Cluster1,0.9640701324986284,0.012292019465026229
10262,NUP188---Cluster3,0.9640222699156612,0.0134421341190176
5586,FNDC3B---Cluster1,0.9639574788601282,0.0168011835721989
2155,C6orf146,0.9638109516584226,0.05004608992470101
3610,CRELD2,0.9637984341886467,0.04579284910870992
12604,RNF17,0.9634582902454762,0.039104981952961665
7584,KBTBD5---Cluster1,0.9633476893150716,0.07588073422165052
1879,C1orf49---Cluster1,0.9631828486402152,0.023332733837197958
14863,TFDP1---Cluster2,0.9627588063711646,0.03620528321053936
