['DRAM' 0.0001414466359515697]
['NAV2' 0.00014129385913628665]
['MPDZ' 0.00014123140107400915]
['RCBTB1' 0.0001411992735158]
['GRIA3' 0.00014088830017019703]
['FAM108B1' 0.0001408506509186453]
['CLEC2L' 0.0001407954805567748]
['C19orf28' 0.00014055584328399778]
['ESPL1' 0.0001405339434489873]
['DHX33' 0.00014053159103016795]
['PPP1R14D' 0.000140414681887244]
['ANKRD15' 0.0001403995605245798]
['DBN1' 0.00014030345733389077]
['PON2' 0.00014027607154473086]
['FRS3' 0.00014024248068368746]
['MYOZ1' 0.00014015920390362234]
['BLCAP' 0.0001399816067550346]
['RNF168' 0.00013990872163640794]
['SMOC2' 0.00013961314442271526]
['AIFM1' 0.0001396057928964521]
['PAPSS1' 0.0001396033727763122]
['COX18' 0.00013942138549939164]
['ZNF445' 0.00013934804724060273]
['SCGB1D1' 0.00013925345436946964]
['MIPOL1' 0.0001391969437467154]
['GALNT4' 0.00013908400474896718]
['GNB1' 0.00013901157749122278]
['CCNI' 0.0001389500021683989]
['TMED5' 0.000138771733282232]
['TMEM16K' 0.00013869983382320676]
['CIAPIN1' 0.00013865382991070068]
['GRHL2' 0.00013863594864252542]
['LRP1' 0.00013861606108671453]
['MANBAL' 0.00013850472633306483]
['OR51E2' 0.0001383079931973826]
['RNF111' 0.00013829973023895168]
['USP33' 0.000138276129580333]
['FBXO33' 0.00013814683618063866]
['SLC24A1' 0.00013813664710336467]
['ANKRD17' 0.00013799590656995357]
['LOC91948' 0.00013791363583795204]
['SYPL1' 0.00013790317771038407]
['TNIP3' 0.00013779276011802063]
['FURIN' 0.00013775065751893834]
['MRPL49' 0.00013773465327359376]
['SLPI' 0.00013771902123926107]
['NSUN7' 0.00013770543800940282]
['C1orf80' 0.00013765239644357945]
['ITGB8' 0.00013753025402682848]
['TRAPPC2L' 0.00013752071694502526]
['C2orf48' 0.00013745563570423337]
['CPD' 0.00013723941816013414]
['HEY1' 0.0001372129093049606]
['PALM2-AKAP2' 0.0001371307474866569]
['FAM79A' 0.0001370620293335682]
['C9orf93' 0.0001370201165057563]
['TIGD1' 0.00013701765052872417]
['ST7L' 0.00013699982933359397]
['RNASE4' 0.00013696894907437032]
['SLC22A17' 0.0001369566082022443]
['CD69' 0.00013693891765959867]
['FRRS1' 0.0001368785319822941]
['ITGA2B' 0.0001368662119862983]
['KRTAP8-1' 0.0001367814791882387]
['TIMP2' 0.00013675772708856052]
['MTERF' 0.00013670151009721152]
['TSPAN2' 0.00013666868594670452]
['PCTK2' 0.00013665476421811777]
['UBTD2' 0.00013654952457250322]
['IGF1' 0.00013641307579419923]
['USP40' 0.00013638714997875735]
['LOC388524' 0.00013636848512366175]
['PHF7' 0.00013625109034616362]
['RABGAP1L' 0.0001361877498211139]
['EDA' 0.00013612063698215394]
['TMIE' 0.000135922099618383]
['C15orf40' 0.0001357338548695807]
['ZMYM3' 0.00013572963161148999]
['C4orf6' 0.00013570986357586758]
['TBPL1' 0.00013566966616535117]
['CXCL2' 0.00013539958033074935]
['CITED2' 0.00013525025767766648]
['CCNE1' 0.0001351424024887585]
['OR5J2' 0.0001351093847615217]
['PKM2' 0.00013510386241521796]
['GLB1L' 0.0001349555443808014]
['IL20RB' 0.00013492132411932532]
['TMEM55A' 0.00013490510409111075]
['ZBP1' 0.00013472866147862557]
['MMP13' 0.00013458574353124894]
['C1S' 0.000134579691226635]
['CHSY-2' 0.00013446519741012853]
['SHANK1' 0.00013442700001595057]
['PLEKHF2' 0.00013441550069423112]
['BHLHB2' 0.0001343432205539285]
['GPD1L' 0.0001341514003241968]
['HOXA2' 0.00013402165784615966]
['KRTAP1-3' 0.0001338569305044268]
['FAM50B' 0.00013385575391726976]
['EXOC3' 0.00013380612775596687]
['DPP4' 0.00013379999381503784]
['IL6' 0.00013378995775826152]
['FXYD4' 0.00013374505283781765]
['JMJD2C' 0.0001337412472401849]
['SELL' 0.00013356160375955624]
['KLF3' 0.0001334930362263949]
['ISG20L2' 0.00013346945394757435]
['SH3BGR' 0.00013292774414325876]
['PRDX2' 0.00013281509731637538]
['ANKRD29' 0.0001327582220107589]
['MAB21L1' 0.00013271836667995117]
['UBD' 0.0001326866568251642]
['PCDHB11' 0.000132671300051368]
['AGBL5' 0.0001326522873027084]
['NDUFB1' 0.00013262504446464256]
['MAGEE1' 0.00013256727318119386]
['RWDD1' 0.00013252361135221896]
['FAM38B' 0.00013251793729737493]
['PRR4' 0.00013248626366816352]
['ME2' 0.0001324503611801018]
['SORBS1' 0.00013241790286408023]
['SNIP1' 0.00013226770419094846]
['PHYH' 0.0001320747870883177]
['PSME3' 0.00013194108381708462]
['C12orf32' 0.00013182464789637317]
['NFKBIE' 0.00013177272098954836]
['NPC1' 0.00013176934889808613]
['NUDT13' 0.00013170108307634278]
['HOXA4' 0.0001316162609818403]
['SLC39A7' 0.00013154937271450825]
['YWHAH' 0.00013150919754620924]
['BRF2' 0.00013142088269698607]
['MBD2' 0.00013141866750966403]
['HECTD3' 0.00013122133141711535]
['ARMCX5' 0.00013119265794599285]
['FLJ32065' 0.00013110827455328075]
['FLJ41603' 0.00013109498255595503]
['PTGES' 0.00013109325718907571]
['ST7' 0.00013089144675122662]
['ABCB6' 0.0001307643768827244]
['PLEKHH1' 0.00013065529250110987]
['LRRIQ2' 0.00013054488153395324]
['OR5D13' 0.00013049947527096146]
['ANGPTL5' 0.00013048739872000763]
['OSBPL10' 0.00013046217967524812]
['SNTA1' 0.0001303770271485096]
['SLC35A3' 0.00013036609187076745]
['LOC441601' 0.00013034857295365565]
['EIF2C1' 0.00013031527573446465]
['KIAA0082' 0.00013029944986402654]
['LOC129293' 0.00013023198202451232]
['ZNF615' 0.0001301885269319132]
['GLI3' 0.00013010161276422094]
['SMARCAD1' 0.00012994239488694733]
['NR1H3' 0.00012984068061786992]
['THY1' 0.00012980715619557295]
['TSC22D2' 0.0001297985086619931]
['SEMA5A' 0.0001297611955540415]
['DC2' 0.00012969866695192598]
['CHMP2A' 0.00012969670186320961]
['DET1' 0.00012968104725746344]
['DLD' 0.00012967522285334788]
['CAPN13' 0.00012962652862746944]
['GJB2' 0.00012962127538287732]
['RCN1' 0.00012958652757273832]
['EIF1AX' 0.00012957853451215485]
