['Treatment' 0.047790195664771024]
['POP1' 0.0007319081192058737]
['ASB7' 0.0007263191420802768]
['DHX15' 0.000725314563964999]
['WDR52' 0.0007247124509021353]
['PIGY' 0.0007207608017758937]
['NOL1' 0.000719885033434622]
['PSD4' 0.0007189978046909335]
['OR4S2' 0.0007148748336817731]
['NBR1' 0.0007137765290667767]
['COL6A3' 0.0007122830185939892]
['PDE3B' 0.0007102459850748967]
['SYT15' 0.0007079518555729526]
['LOC644285' 0.0007074410979391128]
['MAGEE1' 0.0007072023576056573]
['PHF8' 0.0007049684584711126]
['PPP1R15A' 0.0007019984981677515]
['DUSP12' 0.0007007361819214238]
['RASGEF1A' 0.0007002958209681595]
['SLAMF8' 0.0006994379370703737]
['ANP32B' 0.0006986107298029293]
['PRIM1' 0.0006983484280640959]
['AMY2A' 0.0006972034263035386]
['ZRSR1' 0.0006962961113753134]
['CAST' 0.0006954553774321573]
['MBD2' 0.0006937450336141383]
['MT1M' 0.000689896180686302]
['THSD4' 0.0006898442230330208]
['MARCO' 0.0006892272947661435]
['TSPAN17' 0.0006886546171089075]
['WDR17' 0.0006862391235768458]
['ADIPOR2' 0.0006846592084293807]
['FLCN' 0.000682612408843103]
['IDI2' 0.0006820696305743388]
['GPRASP1' 0.0006808898952771912]
['C14orf152' 0.0006789120418498082]
['SYNGR1' 0.0006788686357441593]
['KIAA1822L' 0.0006781472310704203]
['ACADS' 0.0006766393043236964]
['SSTR2' 0.000671369985802247]
['NRP2' 0.000670081295931063]
['KCNJ11' 0.0006689439203673613]
['LRRTM2' 0.0006682422645869115]
['ZNF174' 0.0006673278810147863]
['ORAI2' 0.0006653986911354818]
['UBAC1' 0.0006634530471929273]
['DEGS1' 0.0006625982945897518]
['GSTM5' 0.0006593105529201771]
['KCNE2' 0.0006593096508903426]
['KIAA1450' 0.0006584964624916983]
['GARNL1' 0.0006565892858577186]
['XK' 0.0006556951007619451]
['LY6G6E' 0.0006545754046123534]
['PADI1' 0.0006529953651466505]
['MMP7' 0.0006515693004870333]
['FRMD6' 0.000648140965675464]
['TIGD6' 0.0006471815988144864]
['LOC283693' 0.00064712717014149]
['IL22RA2' 0.0006470247239335545]
['CD99L2' 0.000645435381246553]
['ITPR1' 0.0006434156440098039]
['DHX32' 0.0006425579567573332]
['FZD5' 0.0006418062855604049]
['DGCR14' 0.0006414446026259684]
['GNGT2' 0.0006405996130266555]
['FAM137B' 0.0006384013632164057]
['KATNB1' 0.0006353994007391862]
['NHP2L1' 0.0006303580530903037]
['ETHE1' 0.0006285116353899908]
['SLC34A2' 0.0006260215893774492]
['CCDC85B' 0.0006258786458885816]
['CFLAR' 0.0006247200017858271]
['DCLK2' 0.0006242090447058965]
['PCDHB15' 0.0006204031491996039]
['LOC441054' 0.0006200532785576354]
['TNFRSF19' 0.0006171692341907745]
['ZNF319' 0.0006170188206274402]
['ZDHHC7' 0.0006169988147707357]
['OR52D1' 0.0006166649399102807]
['DOM3Z' 0.0006159799750694657]
['HDDC2' 0.0006123284021024258]
['SLC22A4' 0.0006121013495074949]
['PNPLA3' 0.0006111150917315918]
['CAP1' 0.0006109444453352209]
['C8orf79' 0.0006082161488779926]
['TLR6' 0.0006077850762893384]
['FBXO33' 0.0006068587235390818]
['SLC6A16' 0.0006009227195624262]
['SPOCK1' 0.0005991820188641559]
['ZNF175' 0.0005983919267704449]
['C1orf87' 0.0005979878528831466]
['RLN1' 0.0005978645923544758]
['SPECC1' 0.0005945787302702317]
['PTPN9' 0.0005929910621290991]
['VWCE' 0.0005922709823971491]
['AMACR' 0.0005909067874408176]
['HIST1H4I' 0.0005906987187924062]
['C13orf29' 0.0005858797453920884]
['MYH4' 0.0005855729655439289]
['SNRP70' 0.0005841703005915353]
['PCYT2' 0.0005804796307346594]
['FANCG' 0.0005785820919903813]
['TGM7' 0.0005780306387063166]
['TPM3' 0.0005769837770225852]
['ATXN2' 0.000576418535250746]
['AFTPH' 0.0005762877774996388]
['C1orf131' 0.0005756607812714433]
['FAH' 0.0005736870962615436]
['GNRH1' 0.0005727789709745069]
['CCDC89' 0.0005727375755924661]
['SCAMP4' 0.0005715512098922776]
['ZMYND17' 0.0005698367021056934]
['ARID4A' 0.000568463826710133]
['SDAD1' 0.0005682863912330488]
['DCK' 0.000567706708656395]
['DOK3' 0.0005674728979465315]
['CCL8' 0.0005655554139890731]
['GJB1' 0.0005653639216686522]
['IMMP2L' 0.0005652980670674414]
['FMO2' 0.0005613569012200243]
['CRABP1' 0.0005542877778366449]
['BEX2' 0.0005540415531067431]
['CCL28' 0.0005539680088049776]
['IL20RA' 0.0005538851203116347]
['SORT1' 0.0005532829296224438]
['SPSB3' 0.000553234464386409]
['NANOG' 0.0005525159138261258]
['C10orf59' 0.0005506187631370465]
['DAZ2' 0.000548030481533081]
['CDK5RAP1' 0.0005478409832271402]
['TOX4' 0.000546358953454195]
['GCHFR' 0.0005463404912495064]
['FLJ10815' 0.0005380562576426499]
['HECA' 0.0005372069307665987]
['ZSCAN4' 0.0005363108561445211]
['OR10H3' 0.0005357319587140105]
['ALG14' 0.0005351551812873736]
['C6orf91' 0.0005335601314692978]
['ZNF800' 0.0005325097796459119]
['ARID5A' 0.0005310499958000908]
['STIM2' 0.0005284194150774753]
['BRCA2' 0.0005264825159841383]
['TCF15' 0.0005261660232093325]
['SIPA1L1' 0.0005259362533392633]
['ZNF267' 0.0005253763828513228]
['FAIM' 0.0005228019370556936]
['ZNF774' 0.0005226498700703061]
['DRD5' 0.0005217326680571129]
['HCCS' 0.0005211718243326338]
['ARCN1' 0.0005206916913073255]
['OCLN' 0.0005197390375657817]
['C3orf15' 0.0005163052569470328]
['ACADVL' 0.0005150821620229718]
['GPX1' 0.0005148183242566988]
['GALNT7' 0.0005037729324516544]
['PAP2D' 0.0005036447924876717]
['OR13H1' 0.0005018378197977822]
['UTS2R' 0.0005010959293959718]
['C11orf71' 0.0004991413715424053]
['NELL2' 0.0004984654250565281]
['ANKRD55' 0.000498009203304885]
['ZNF490' 0.0004976329652733065]
['ZSWIM3' 0.0004953997285175332]
['ARF6' 0.0004947715137955974]
['S100P' 0.0004938067452699278]
['SERPINB5' 0.0004931909226372439]
['TNK2' 0.0004894581039152478]
['SURF1' 0.0004881988913952864]
['GOT2' 0.00048774803711170605]
['C6orf62' 0.0004863022894440267]
['SLC46A1' 0.00048603162612719317]
['NCLN' 0.00048560472968322383]
['CXorf6' 0.00048547387034571574]
['SH2D3A' 0.000484972140447966]
['GPR173' 0.0004814132305663007]
['ALDH2' 0.00048045855697900666]
['RALBP1' 0.00048023278059453707]
['TMEM159' 0.0004802088855440286]
['LOC116236' 0.0004795564648730632]
['ERO1LB' 0.0004789434616549046]
['SMAD4' 0.0004788030401210044]
['GTF3A' 0.00047826705327271913]
['CHDH' 0.00047741396188836723]
['RMI1' 0.00047541950459010406]
['ING2' 0.00047495025699676385]
['LOC401127' 0.00047480412134941874]
['WDR21C' 0.00047149383907569827]
['GFAP' 0.00047128003039029925]
['PRKCA' 0.0004709258664420949]
['OR51T1' 0.00046902720521274893]
['TMEM63B' 0.0004689193880545213]
['ZXDC' 0.00046750984095649955]
['PRPF6' 0.00046693513954850825]
['ULBP3' 0.000464646354515783]
['RPGRIP1L' 0.00046172433139205827]
['EEF1B2' 0.0004612998443957006]
