UTR5_A4_minus_S4_divavg,TSS200_A4_minus_S4_divavg,TSS200_primate,first_exon_avgMval,first_exon_avglogFC,first_exon_numHypo,CDS_S36,UTR5_A27_minus_S27_divavg,TSS200_placental,fullTranscript_A36,TSS200_vertebrate,fullTranscript_S36,fullTranscript_avgMval,TSS200_A27_minus_S27_divavg,UTR5_avglogFC,last_exon_A36,CDS_A36,UTR5_avgMval,first_exon_S4,first_intron_avgMval,TSS1500_A27,first_exon_primate,UTR3_A36_minus_S36_divavg,first_intron_A4,UTR5_numHypo,first_exon_A4,TSS1500_A4_minus_S4_divavg,intron_A36,last_exon_S36,first_exon_numHyper,TSS200_A36_minus_S36_divavg,UTR3_A4_minus_S4_divavg,exon_S36,last_intron_A36,intron_S36,CDS_ATT,TSS1500_S27,TSS1500_A27_minus_S27_divavg,TSS200_A4,exon_A36,CDS_TA,CDS_TT,TSS1500_avglogFC,CDS_TAA,CDS_AT,TSS200_A27,last_intron_S36,CDS_C,first_intron_avglogFC,TSS200_numHyper,fullTranscript_length,first_exon_A27,CDS_T,first_intron_length,first_intron_A36,CDS_ATA,UTR5_numHyper,TSS200_CG,TSS200_GC,TSS200_S4,CDS_AAT,last_exon_length,TSS1500_avgMval,fullTranscript_avglogFC,fullTranscript_A27,first_exon_placental,TSS200_CGG,regulated
2,2,0.055485,?,?,?,0.274369753333525,2,0.05567,0.154421845301652,0.066335,0.207431347397332,1.95688997028807,-1.06958436534687,?,0.194862231031622,0.1926049199616,?,0,?,0.306560154092899,0.0531428571428572,-0.862555069707747,0.272075432479967,?,0.726951546157412,0.816657098964619,0.175138802371221,0.306500479978628,?,-0.506219269430883,2,0.946575649000662,0.153886683473234,0.208964230255384,0.0189873417721519,0.0842824272108511,1.1374284047587,0.610639298772226,0.150449880875665,0.0809893307468477,0.0780795344325897,-0.164675243199214,0.0204479065238559,0.0601357904946654,0.287400144462093,0.247428570599105,0.171497584541063,?,?,76968,0.586530907065496,0.261352657004831,1995,0.180992337895537,0.0150925024342746,?,0.02,0.005,0,0.0170399221032132,1853,0.355129346118521,-0.0530000875006693,0.418530434438353,0.0536071428571429,0.0050251256281407,Up
-0.437777761155044,0.246902273072944,0.593025,-1.67395101914908,0.139210206732663,0,2.09057008089855,0.155943494549527,0.800225,0.577993728398302,0.73401,1.34706102960461,0.554481945093437,0.769858923220856,0.00655663708957456,0.397195435666598,0.940311755472907,-1.36053675058377,1.61817727635833,-3.1395670586308,1.0182176546657,0.570524017467249,-0.610194141750656,6.72459165504463,0,1.89621131108309,0.335926341769128,0.232175742092076,0.751734256557727,4,-0.0474525046913659,1.16387954951537,0.323615606495953,1.16627814632298,0.194768652057749,0.000466200466200466,0.716400631292234,0.347992438240427,0.474941676822842,0.192884462661109,0.0209629117714812,0.0172771250863856,-0.476175773316255,0.0034965034965035,0.00783229670582815,2.13497250171841,1.7121523366937,0.32695810564663,-0.0252247928739779,4,17544,2.22318265210852,0.189435336976321,1463,0.205673111244928,0.000466200466200466,2,0.08,0.035,0.370563145553424,0.0027972027972028,1553,0.7991427950579,-0.251314859084275,0.314996249793155,0.708008733624454,0.0603015075376884,Up
-0.257093455971342,0.159635130011944,0.09008,-3.69919455498883,0.0949859063347058,0,0.192924688487972,-1.05688715284518,0.081765,0.396321921737791,0.092185,0.172726023436369,-1.51734335018848,0.353189613421746,0.0949859063347058,0.433337602768162,0.594974380977729,-3.69919455498883,9.24731252938085,-2.93156469795808,0.487211673469072,0.546095840867992,0.850403894147878,0.795742357430619,0,7.04253481003129,0.95587349359149,0.664214610733489,0.174644953690159,4,0.501245498175046,0.748890080589078,0,0.596188339134337,0.221110873394222,0.00281350482315113,1.09567155374107,-0.768799453822527,9.56668234743153,0.437354304871119,0.0378260003981684,0.0386223372486562,0.0180013621220333,0.00683279742765273,0.0189130001990842,0.451628798440432,0.220647004429059,0.263510848126233,-0.0437075855535328,3,161849,0.282128790740365,0.180867850098619,16422,0.401731048374005,0.00622990353697749,4,0.145,0.125,8.15238920217532,0.00502411575562701,4878,-2.73998473532439,0.080744126837711,0.203143525918995,0.290627486437613,0.0603015075376884,Down
-1.11111802461748,-0.724956668640229,0.74507,-2.39098552565737,1.25944370518762,0,0.589285535491497,-0.933132737473931,0.77939,0.65567151353119,0.68519,0.463566601320445,1.14615407503841,-1.17508983771982,1.25944370518762,0.73936650318644,0.934344228466279,-2.39098552565737,14.7923154525596,0.261381149070538,0.240868692501564,0.874733197556009,0.921607672781166,0.578072148631437,0,4.69828833633303,0.105348568092779,0.50394296273822,0.293675741189086,2,2,0.587055538288115,0.404519508119941,0.58214928014318,0.48039771061747,0.00483002043470184,0.674259417686813,-0.947169517273459,4.68156795725373,0.642948208870363,0.0119287942741787,0.0216553496054322,0.396201076128172,0.00167193015047371,0.0280785465222977,0.164228653978339,0.444785258928198,0.31350861287398,-0.135955733495806,?,203037,0.284306223791422,0.144696282864914,48615,0.597745438468265,0.00148616013375441,2,0.11,0.135,10.0052049299424,0.00557310050157904,2686,-2.90368591930975,-0.547311327458228,0.143896322063203,0.563270875763748,0.0251256281407035,Up
-1.33405037465469,-1.52477068902148,0.524465,-1.17806695968469,0.314925264252296,0,3.56537778420388,?,0.249355,1.28899658296556,0.256265,2.57287835629683,0.691486305889103,2,?,1.18210620688022,1.88488216925864,?,59.4623701017164,-3.00307468422621,0.109485769318893,0.745662790697674,-0.469332851127133,8.35856074365024,?,10.8873673424505,-0.731717262348534,1.04261094794611,2.16360148343009,2,-0.999003104807507,2,1.7432332394119,1.9015193277341,1.55176335901748,0.00162866449511401,0.210706068027128,-0.632247839590298,5.49575368895003,1.08057925490809,0.0219187514344733,0.0215744778517328,-0.253226107809286,0.00290832945556073,0.0105577232040395,0.0410571634945847,1.57762608166777,0.289175724637681,0.500056333311755,4,31088,0.0954817755688017,0.163949275362319,526,0.572052778994924,0.00104699860400186,?,0.135,0.095,40.7619460108766,0.000697999069334574,350,-1.27536092296749,0.000611367015170615,0.0657696455876969,0.529918604651163,0.0552763819095477,Up
2,2,0.11264,1.19432498428588,-1.26909649645146,2,0.276516621512974,-0.749779621397066,0.157355,0.467811883593973,0.167935,0.197430145658119,0.819205795235361,-0.878297708947506,?,0.967877898141493,0.614513597942857,?,0.185745662298776,1.69446017215414,0.191600096308062,0.55290977443609,0.85040389414788,0.862896143151533,?,3.16287690257961,1.42451308653222,0.316010131245361,0.385413537866719,0,2,2,0,1.07805492251122,0.228531059633187,0.0167880899588217,0.0842824272108511,0.777995414340581,3.79953341458274,0.394324284553154,0.0796599496221662,0.0743073047858942,?,0.0218561925878999,0.0591939546599496,0.246342980967508,0.413351811790682,0.20093896713615,-0.230352369402635,?,49543,0.185220286441736,0.256651017214397,8948,0.306851846891024,0.0171048463731391,?,0.04,0.005,0,0.0123535001583782,1228,?,-0.6532487588104,0.224416766734625,0.576604010025063,0.0050251256281407,Up
2,2,0.313615,0.913400104409045,0.432732093821372,0,0.248445052231145,-0.424952005559442,0.08357,0.220207236752187,0.08529,0.270334327859678,-0.705415038833587,-0.247922698651055,?,0.264527263078092,0.281353123684807,?,0.158022429119854,?,0.558377423526353,0.328027718550107,0.354228397779374,0.235360707926562,?,0.202533764103557,1.36606530324231,0.157374352380403,0.13869240278398,1,0.501245498175046,2,0.226996558513348,0.201752713817942,0.132018918968014,0.00663129973474801,0.421412136054257,0.279581030707702,0.203546432924075,0.162355986556473,0.0580474934036939,0.0448548812664908,-0.573018823711128,0.0159151193633952,0.0303430079155673,0.739028942902525,0.241781774968241,0.276902887139108,?,1,7003,0.455218017423967,0.22244094488189,1672,0.242951362658071,0.00994694960212202,?,0.06,0.015,0,0.00795755968169761,455,2.42483560594687,0.263815712943667,0.490129782685604,0.431773987206823,0.0050251256281407,Down
-1.92024618040709,2,0.509065,-2.13061337820573,0.612519388579499,0,0.538496369209266,-1.40946503392156,0.35671,0.302738900572307,0.300795,0.334120069613971,-0.229089408272256,2,0.612519388579499,0.859094809222847,0.545631567975745,-2.13061337820573,3.39682379928887,-0.00048913526705683,0.147805788580505,0.526141666666667,-0.0474525046913659,0.274024899888731,0,0.0565406758122431,0.00700606182838793,0.213778098485322,0.93870265895779,1,-1.70552007420872,-0.437777761155047,0,0.838122624056216,0.268764883504384,0.00108283703302653,0.505694563265108,-1.09529787910245,0.0678488109746917,0.247450461966554,0.0322407307898979,0.0290166577109081,0.968716281909322,0.00487276664861938,0.0139709833422891,0.123171490483754,0.83563755923955,0.340266666666667,0.685994924757763,?,39757,0.0855357572803849,0.1936,11043,0.243188479003044,0.00324851109907959,1,0.06,0.015,0,0.00108283703302653,1042,1.29231719409002,0.469196613692696,0.21067136234865,0.563595833333333,0.0251256281407035,Down
-0.0882452745728437,2,0.0359,-0.294624256887939,-0.38725178826921,1,0.201828496588627,-0.424952005559443,0.061115,0.135111833318647,0.06499,0.163629317855752,0.975633569942136,-0.749779621397066,-0.38725178826921,0.18974557799616,0.160394329291754,-0.294624256887939,0.223230479690397,?,0.317508731024789,0.127186746987952,-0.406369588275508,0.145390309231482,1,0.204363888477987,-0.230377821975447,0.153912921611933,0.282406621616688,0,-2,2,0.450750309047934,0.239188999802329,0.322787945098265,0.0156926406926407,0.505694563265108,-0.457203788045212,0.135697621949383,0,0.0451127819548872,0.0730397422126745,-0.737039579056311,0.0146103896103896,0.0612244897959184,0.574800288924186,0.501629914679736,0.227078891257996,?,1,23718,0.420464927354181,0.249466950959488,840,0.0537321003127375,0.0162337662337662,0,0.01,0.06,0,0.0178571428571429,1229,2.01171391361911,-0.528656943188061,0.533511164053926,0.107409638554217,0,Down
0.0939497536912756,2,0.295725,0.723490431235699,0.515360202845782,0,0.0939462575216878,-0.878297708947505,0.24256,0.211588379288054,0.28101,0.117139380070873,-0.0418557275887703,2,?,0.191509522499574,0.19624824954716,?,0.236027131392394,?,0.109485769318893,0.244388535031847,0.765840091008699,0.164200726283615,?,0.388942228517341,2,0.154679902704733,0.0963926322811265,1,-0.0474525046913659,0.932323000213262,0,0.25938490860437,0.119166048971968,0.0141408370232824,0.252847281632554,-0.791324511728695,0.271395243898767,0.184979361732375,0.0761349082111854,0.071581044542479,-0.0357817323290733,0.0231395514926439,0.0502348085954177,0.246342980967508,0.179473314110095,0.21522756273926,?,1,186935,0.183057416854836,0.257195519637034,22809,0.169189330722996,0.0157120411369804,?,0.055,0.005,0,0.011426939008713,1964,0.93187676171975,-0.172230192518835,0.372058924010092,0.222117834394905,0.0050251256281407,Down
